Zone,Country,State/Territory,Term,Term Date,Number of Weeks,School Holidays Date,Number of School Holidays (Days)
Zone 4,Austrailia,Queensland,Term 1,Tuesday 28 January 2025 to Friday 4 April 2025,9,Saturday 5 April to Monday 21 April,17
Zone 4,Austrailia,Victoria,Term 1,Tuesday 28 January (students start 29 January in government schools)  2025 to Friday 4 April 2025,9,Monday 7 April to Thursday 17 April 2025 ,11
Zone 4,Austrailia,New South Wales (Eastern Division),Term 1,Thursday 6 February 2025 to Friday 11 April 2025,9,Monday 14 April to Thursday 24 April 2025 ,11
Zone 4,Austrailia,Western Austrailia,Term 1,Wednesday 5 Feburary 2025 to Friday 11 April 2025,9,Saturday 12 April to Sunday 27 April 2025,16
Zone 4,Austrailia,Northern Territory,Term 1,Wednesday 29 January to Friday 4 April 2025,9,Saturday 5 April to Tuesday 14  April 2025,10
Zone 4,Austrailia,South Austrailia,Term 1,Tuesday 28 January 2025 to Friday 11 April 2025,10,Saturday 12 April to Sunday 27 April 2025,16
Zone 4,Austrailia,Austrailian Capitol Territory,Term 1,Monday 3 Febuary to Friday 11 April,9,Saturday 12 April to Sunday 27 April 2025,16
Zone 4,Austrailia,Queensland,Term 2,Tuesday 22 April to Friday 27 June,10,Saturday 28 June to Sunday 13 July 2025,16
Zone 4,Austrailia,Victoria,Term 2,Tuesday 22 April to Friday 4 July,11,Saturday 5 July to Sunday 20 Sunday 2025,16
Zone 4,Austrailia,New South Wales (Eastern Division),Term 2,Wednesday 30 April 2025 to Friday 4 July 2025,9,Monday 7 July to Friday 18 July 2025,12
Zone 4,Austrailia,Western Austrailia,Term 2,Monday 28 April to Friday 4 July,9,Saturday 5 July to Sunday 20 July,16
Zone 4,Austrailia,Northern Territory,Term 2,Tuesday 15 April to Friday 20 June,10,Saturday 21 June to Monday 14 July 2025,24
Zone 4,Austrailia,South Austrailia,Term 2,Monday 28 April to Friday 4 July,10,Saturday 5 July to Sunday 20 July,16
Zone 4,Austrailia,Austrailian Capitol Territory,Term 2,Tuesday 29 April to Friday 4 July,10,Saturday 5 July to Monday 21 July 2025,17
Zone 4,Austrailia,Queensland,Term 3,,10,Saturday 20 September to Monday 6 October,17
Zone 4,Austrailia,Victoria,Term 3,Friday 4 July,9,Saturday 20 September to Sunday 5 October 2025,16
Zone 4,Austrailia,New South Wales (Eastern Division),Term 3,Tuesday  22 July 2025 to Friday 26 September 2025,10,Monday 29 September to Friday 10 October 2025,12
Zone 4,Austrailia,Western Austrailia,Term 3,Monday 21 July to Friday 26 September,10,Saturday 27 September to Sunday 12 October,16
Zone 4,Austrailia,Northern Territory,Term 3,Tuesday 15 July to Friday 19 September,10,Saturday 20 September to Monday 6 October 2025,17
Zone 4,Austrailia,South Austrailia,Term 3, Monday 21 July to Friday 26 September,10,Saturday 27 September to Sunday 12 October,16
Zone 4,Austrailia,Austrailian Capitol Territory,Term 3,"	
Tuesday 22 July to Friday 26 September",10,Saturday 27 September to Monday 13 October 2025,17
Zone 4,Austrailia,Queensland,Term 4,Tuesday 7 October to Friday 12 December 2025,10,Saturday 13 December to Monday 26 January 2026,45
Zone 4,Austrailia,Victoria,Term 4,Monday 6 October to Friday 19 December 2025,11,Saturday 20 December 2025 to 26 January 2026,38
Zone 4,Austrailia,New South Wales (Eastern Division),Term 4,Tuesday 14 October 2025 to Friday 19 December 2025,10,Monday 22 December to Monday 26 January 2026,36
Zone 4,Austrailia,Western Austrailia,Term 4,Monday 13 October to Thursday 18 December,10,Friday 19 December 2025 to Sunday 1 February 2026,45
Zone 4,Austrailia,Northern Territory,Term 4,Tuesday 7 October to Thursday 11 December,10,Friday 12 December 2025 to Tuesday 27 Jan 2026,47
Zone 4,Austrailia,South Austrailia,Term 4,Monday 13 October to Friday 12 December,9,Saturday 13 December to Monday 26 January,45
Zone 4,Austrailia,Austrailian Capitol Territory,Term 4,Tuesday 14 October to Thursday 18 December,10,Friday 19 December 2025 to 29 January 2025,43
Zone 4,New Zealand,New Zealand,Term 1 ,Starts between Monday 27 January and Friday 7 February and ends Friday 11 April 2025,11,Saturday 12 April to Sunday 27 April 2025,16
Zone 4,New Zealand,New Zealand,Term 2,Monday 28 April to Friday 27 June 2025,9,Saturday 28 June to Sunday 13 July 2025,16
Zone 4,New Zealand,New Zealand,Term 3,Monday 14 July to Friday 19 September 2025,10,Saturday 20 September to Sunday 5 October 2025,16
Zone 4,New Zealand,New Zealand,Term 4,Monday 6 October to no later than Friday 19 December 2025,11,Start no later than Saturday 20 December 2025 and run for 5 or 6 weeks (from school's closing date until opening date of school the following year).,40
